,Movies,Worldwide Collections
250,Waves,"$2,069,963"
251,Beanpole,"$2,018,466"
252,42nd Street: The Musical,"$1,967,450"
253,Luka Chuppi,"$1,923,586"
254,Fantastic Fungi,"$1,849,050"
255,The Other Side of Heaven 2: Fire of Faith,"$1,807,216"
256,Polaroid,"$1,772,204"
257,Invisible Life,"$1,724,118"
258,The Souvenir,"$1,719,157"
259,La femme de mon frère,"$1,671,969"
260,Matthias & Maxime,"$1,665,331"
261,Deerskin,"$1,656,279"
262,Student of the Year 2,"$1,635,907"
263,The Crossing,"$1,589,212"
264,Teen Spirit,"$1,573,601"
265,The Kid,"$1,553,483"
266,Tel Aviv on Fire,"$1,548,893"
267,Monos,"$1,546,972"
268,The Chaperone,"$1,541,223"
269,De De Pyaar De,"$1,473,116"
270,It 2019 Re-release,"$1,414,696"
271,El Chicano,"$1,404,646"
272,For Sama,"$1,396,596"
273,Alien 2019 Re-release,"$1,356,259"
274,Roger Waters - Us + Them,"$1,294,480"
275,Fagara,"$1,265,949"
276,Batla House,"$1,264,337"
277,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552"
278,Kingdom Men Rising,"$1,188,936"
279,Los Domirriqueños 2,"$1,187,280"
280,National Theater Live: Cyrano de Bergerac,"$1,173,512"
281,Honeyland,"$1,168,728"
282,The Song of Names,"$1,138,700"
283,My Neighbor Totoro 2019 Re-release,"$1,105,703"
284,El Coyote,"$1,101,470"
285,The Goonies 2019 Re-release,"$1,098,549"
286,The Sky Is Pink,"$1,088,641"
287,Jesus Is King,"$1,082,629"
288,Mystify: Michael Hutchence,"$1,082,456"
289,Bennett's War,"$1,056,416"
290,Noah,"$1,035,603"
291,Cold Blood,"$1,009,888"
292,Kiki's Delivery Service 2019 Re-release,"$1,004,057"
293,Photograph,"$996,171"
294,American Masters: Miles Davis: Birth of the Cool,"$984,499"
295,Rush: Cinema Strangiato 2019,"$960,073"
296,The Fighting Preacher,"$954,641"
297,Toni Morrison: The Pieces I Am,"$927,495"
298,The Game Changers,"$897,992"
299,The Nightingale,"$885,916"
300,The Hummingbird Project,"$876,980"
301,Between Me and My Mind,"$875,191"
302,Howl's Moving Castle 2019 Re-release,"$865,647"
303,Steel Magnolias 2019 Re-release,"$855,421"
304,Joni 75: A Birthday Celebration,"$808,831"
305,The Whistlers,"$799,694"
306,Vita & Virginia,"$793,439"
307,Chonda Pierce: Unashamed,"$787,979"
308,The Church,"$772,000"
309,DanTDM Presents The Contest,"$765,363"
310,Patterns of Evidence: Moses Controversy,"$765,361"
311,I Love Lucy: A Colorized Celebration,"$754,323"
312,David Crosby: Remember My Name,"$732,793"
313,Where's My Roy Cohn?,"$722,603"
314,Frankie,"$695,680"
315,The Least of These: The Graham Staines Story,"$695,164"
316,Raise Hell: The Life & Times of Molly Ivins,"$694,410"
317,Romeo Akbar Walter,"$688,719"
318,Bethany Hamilton: Unstoppable,"$684,078"
319,Stockholm,"$665,527"
320,The Public,"$644,740"
321,Aquarela,"$638,907"
322,Asako I & II,"$627,102"
323,Give Me Liberty,"$624,445"
324,Nancy Drew and the Hidden Staircase,"$623,088"
325,Dirty Dancing 2019 Re-release,"$622,968"
326,Synonyms,"$615,688"
327,Killerman,"$614,366"
328,The Muppet Movie 2019 Re-release,"$610,475"
329,Bolshoi Ballet: The Sleeping Beauty,"$606,872"
330,The Golden Glove,"$604,479"
331,To Kill a Mockingbird 2019 Re-release,"$592,237"
