,Movies,Worldwide Collections
248,Gotti,"$6,412,349"
249,Unbroken: Path to Redemption,"$6,216,897"
250,Ploey,"$6,146,292"
251,Mobile Suit Gundam Narrative,"$6,126,259"
252,Death of a Nation,"$5,885,881"
253,Incident in a Ghostland,"$5,643,957"
254,El Angel,"$5,604,680"
255,Destroyer,"$5,580,940"
256,A Wizard's Tale,"$5,487,261"
257,Harry Potter and the Sorcerer's Stone 2018 Re-release,"$5,329,121"
258,Never Look Away,"$5,105,444"
259,Action Point,"$5,103,663"
260,Dogman,"$5,080,147"
261,Blindspotting,"$5,006,989"
262,Sgt. Stubby: An American Hero,"$4,932,694"
263,Samson,"$4,873,825"
264,Hamlet 2018 Re-release,"$4,630,718"
265,Bad Samaritan,"$4,623,836"
266,Whitney,"$4,605,123"
267,The Guilty,"$4,598,051"
268,"Juliet, Naked","$4,508,260"
269,Woman at War,"$4,474,828"
270,Storm Boy,"$4,281,218"
271,The Dark Knight 2018 Re-release,"$4,250,479"
272,"Don't Worry, He Won't Get Far on Foot","$4,241,656"
273,Ghost Stories,"$4,131,358"
274,The Fall of the American Empire,"$4,110,928"
275,Harry Potter and the Prisoner of Azkaban 2018 Re-release,"$4,097,066"
276,American Animals,"$4,080,073"
277,Penguin Highway,"$4,006,647"
278,A Private War,"$3,915,207"
279,First Reformed,"$3,862,498"
280,Custody,"$3,790,303"
281,Night of 7 Years,"$3,716,820"
282,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893"
283,Non-Fiction,"$3,649,042"
284,Indivisible,"$3,589,633"
285,The Apparition,"$3,562,793"
286,The Oscar Nominated Short Films 2018: Live Action,"$3,511,123"
287,Great Performances at the Met: Puccini: Tosca,"$3,473,616"
288,Racetime,"$3,439,053"
289,The Rider,"$3,434,963"
290,Patrick the Pug,"$3,369,468"
291,On Chesil Beach,"$3,335,913"
292,Breath,"$3,322,479"
293,Wildlife,"$3,321,367"
294,Bharath Ane Nenu,"$3,276,257"
295,The Front Runner,"$3,242,235"
296,Thoroughbreds,"$3,187,255"
297,Tea With the Dames,"$3,181,152"
298,Made for More,"$2,999,134"
299,Memoir of War,"$2,980,982"
300,God Bless the Broken Road,"$2,848,233"
301,A Breath Away,"$2,842,040"
302,McQueen,"$2,739,246"
303,Edie,"$2,731,170"
304,Billionaire Boys Club,"$2,713,955"
305,The Happy Prince,"$2,621,992"
306,The Little Mermaid,"$2,610,742"
307,Zero,"$2,595,762"
308,Leo Da Vinci: Mission Mona Lisa,"$2,588,859"
309,Assassination Nation,"$2,584,988"
310,Maquia: When the Promised Flower Blooms 2018 Re-release,"$2,569,927"
311,Birds of Passage,"$2,517,405"
312,"One Nation, One King","$2,481,681"
313,Lean on Pete,"$2,443,584"
314,The Breadwinner 2018 Re-release,"$2,426,907"
315,Hearts Beat Loud,"$2,417,165"
316,The Man Who Killed Don Quixote,"$2,390,383"
317,1991,"$2,342,264"
318,The House That Jack Built 2018 Re-release,"$2,268,962"
319,Puzzle,"$2,260,946"
320,An Interview with God,"$2,251,795"
321,At War,"$2,235,052"
322,3 Faces,"$2,191,516"
323,Maria By Callas 2018 Re-release,"$2,185,562"
324,Border,"$2,177,678"
325,Veere Di Wedding,"$2,176,099"
326,High Life,"$2,133,033"
327,Indian Horse,"$2,097,362"
328,Mary Shelley,"$2,096,600"
329,Black '47,"$2,073,063"
330,Under the Silver Lake,"$2,053,469"
331,Raid,"$2,031,135"
332,Climax,"$2,027,391"
333,Peterloo,"$1,998,945"
334,Great Performances at the Met: Verdi: La Traviata,"$1,982,588"
335,Maquia: When the Promised Flower Blooms,"$1,963,575"
336,The House That Jack Built,"$1,933,114"
337,The Pact,"$1,855,647"
338,Sweet Country,"$1,847,693"
339,Grease 2018 Re-release,"$1,827,688"
340,The Little Stranger,"$1,824,902"
341,The Seagull,"$1,820,461"
342,Moses,"$1,807,117"
343,Great Performances at the Met: Puccini: La Bohème,"$1,764,201"
344,Great Performances at the Met: Massenet: Cendrillon,"$1,747,259"
345,Beast,"$1,744,071"
346,A Faithful Man,"$1,720,605"
347,The Wild Pear Tree,"$1,696,258"
348,Sorry Angel,"$1,636,273"
349,I Still See You,"$1,620,637"
350,Great Performances at the Met: Verdi: Aida,"$1,595,902"
351,Made in India,"$1,594,164"
352,Yardie,"$1,551,163"
353,Mystery Train,"$1,544,973"
354,Kedarnath,"$1,538,846"
355,Princess Mononoke 2018 Re-release,"$1,519,321"
356,The Miseducation of Cameron Post,"$1,474,577"
357,The Dawn Wall 2018 Re-release,"$1,442,013"
358,Vox Lux,"$1,439,539"
359,Sometimes Always Never,"$1,377,856"
360,Swimming with Men,"$1,377,748"
361,Little Italy,"$1,362,536"
362,Foxtrot,"$1,356,159"
363,Mandy,"$1,335,484"
364,Great Performances at the Met: Rossini: Semiramide,"$1,332,900"
365,Great Performances at the Met: Mozart: Così fan tutte,"$1,302,949"
366,The Cakemaker,"$1,287,568"
367,Shed Skin Papa,"$1,278,065"
368,Yellow Submarine,"$1,273,261"
369,Beautifully Broken,"$1,271,572"
370,Guy,"$1,257,937"
371,The Captain,"$1,196,669"
372,Great Performances at the Met: Saint-Saëns: Samson et Dalila,"$1,195,758"
373,Great Performances at the Met: Verdi: Luisa Miller,"$1,166,858"
374,Elliot the Littlest Reindeer 2018 Re-release,"$1,142,187"
375,Roma,"$1,140,769"
376,Look Away,"$1,119,537"
377,Great Performances at the Met: Donizetti: L'Elisir d'Amore,"$1,115,018"
378,Sunset,"$1,083,299"
379,The Dark Crystal 2018 Re-release,"$1,036,956"
380,Great Performances at the Met: Puccini: La Fanciulla del West,"$1,023,233"
381,Husband Material,"$1,016,545"
382,Elvis: The Comeback Special,"$1,010,657"
383,National Theatre Live: Antony & Cleopatra,"$998,079"
384,Labyrinth 2018 Re-release,"$993,336"
385,Transit,"$982,372"
386,Schindler's List 2018 Re-release,"$981,489"
387,Journey's End,"$970,809"
388,Ryuichi Sakamoto: Coda,"$960,212"
389,A Prayer Before Dawn,"$958,883"
390,The Endless,"$956,425"
391,The Catcher Was a Spy,"$953,953"
392,Becoming Astrid,"$938,766"
393,Revenge,"$938,055"
394,White Christmas 2018 Re-release,"$928,298"
395,Like Arrows,"$928,265"
396,Kirk Cameron: Connect,"$918,127"
397,The Lodgers,"$916,727"
398,Kings,"$910,269"
399,Great Performances at the Met: Nico Muhly: Marnie,"$865,551"
400,Lizzie,"$844,786"
401,BANDSTAND: The Broadway Musical on Screen,"$839,554"
402,The Heiresses,"$811,196"
403,Mrs. Hyde,"$778,142"
404,The Invisibles,"$764,250"
405,Pick of the Litter,"$763,688"
406,Museo,"$759,626"
407,Boundaries,"$755,977"
408,Ramen Shop,"$734,579"
409,The Polar Express 2018 Re-release,"$731,018"
410,Slaughterhouse Rulez,"$730,762"
411,Liz and the Blue Bird,"$726,454"
412,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,"$707,875"
413,Itzhak,"$704,968"
414,Blaze,"$704,955"
415,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,"$695,130"
416,In the Aisles,"$694,586"
417,The Trump Prophecy,"$671,198"
418,Anna and the Apocalypse,"$670,430"
419,Dragon Ball Z: Broly - The Legendary Super Saiyan,"$658,982"
420,Ponyo 2018 Re-release,"$653,072"
421,Batti Gul Meter Chalu,"$635,869"
422,"Love, Gilda","$626,318"
423,The Sound of Music 2018 Re-release,"$624,392"
424,Die Hard 30th Anniversary Release,"$620,525"
425,The Transformers,"$619,597"
426,The Reports on Sarah and Saleem,"$607,206"
427,The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead,"$605,764"
428,"DCI 2019: Big, Loud & Live 16","$603,320"
429,Oh Lucy!,"$600,145"
430,The Big Lebowski 2018 Re-release,"$592,832"
431,Bilal: A New Breed of Hero 2018 Re-release,"$576,805"
432,The Cat Returns 2018 Re-release,"$563,718"
433,Beetlejuice 2018 Re-release,"$562,613"
434,Kusama: Infinity,"$558,052"
435,Castle in the Sky 2018 Re-release,"$557,541"
436,Rojo,"$557,092"
437,Dhadak,"$549,628"
438,My Generation,"$546,183"
439,He's Out There,"$544,674"
440,Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,"$540,707"
441,Karwaan,"$536,525"
442,What They Had,"$533,579"
443,Grave of the Fireflies,"$516,962"
444,The Sandlot 2018 Re-release,"$516,130"
445,Bullitt 2018 Re-release,"$511,350"
446,Monsters and Men,"$510,967"
447,Have a Nice Day,"$504,003"
448,London Fields,"$487,420"
449,Matangi/Maya/M.I.A,"$469,489"
450,Time Freak,"$467,693"
451,Puffs: Filmed Live Off Broadway,"$464,483"
452,MFKZ,"$461,724"
453,Scotty and the Secret History of Hollywood,"$461,689"
454,South Pacific 2018 Re-release,"$458,000"
455,The Gospel According to André,"$454,550"
456,Leaning Into The Wind,"$452,372"
457,Porco Rosso 2018 Re-release,"$443,059"
458,Elf 2018 Re-release,"$442,073"
459,We the Animals,"$434,743"
460,DCI 2018 Tour Premeire,"$434,008"
461,The Sower,"$433,112"
462,Andy Irons: Kissed by God,"$430,393"
463,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,"$422,760"
464,Frankenstein 2018 Re-release,"$417,783"
465,Happy Phirr Bhag Jayegi,"$417,669"
466,Status Update,"$416,178"
467,Vertigo 2018 Re-release,"$408,560"
468,Please Stand By,"$406,732"
469,The Philadelphia Story 2018 Re-release,"$404,524"
470,The Oath,"$401,463"
471,West Side Story 2018 Re-release,"$398,670"
472,Space Mutiny,"$397,887"
473,Krull 2018 Re-release,"$397,157"
474,The Escape,"$390,881"
475,"Westwood: Punk, Icon, Activist","$386,856"
476,How to Talk to Girls at Parties,"$385,733"
477,Flower,"$380,553"
478,Jane and Emma,"$380,030"
479,Daughter of Mine,"$379,010"
480,Attack on Titan: Smoke Signal,"$377,334"
481,Jurassic Park 2018 Re-release,"$374,238"
482,Pom Poko 2018 Re-release,"$372,405"
483,"Ruben Brandt, Collector 2018 Re-release","$369,809"
484,The Wizard of Oz 2018 Re-release,"$351,839"
485,Bel Canto,"$350,264"
486,Suicide the Ripple Effect,"$347,468"
487,Nureyev: Lifting the Curtain,"$342,255"
488,Knife + Heart,"$341,847"
489,Bolshoi Ballet: Swan Lake,"$341,058"
490,Silencio,"$338,596"
491,Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice,"$335,697"
492,Russ Taff: I Still Believe,"$334,983"
493,Shine,"$333,388"
494,The Opera House,"$325,235"
495,Teefa In Trouble,"$324,633"
496,The Bolshoi Ballet: Live From Moscow - The Nutcracker,"$323,928"
497,The Cured,"$323,776"
498,Damsel,"$323,235"
499,Sauvage / Wild,"$317,536"
500,The Riot and the Dance,"$316,103"
501,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,"$313,088"
502,MET Opera: Magic Flute,"$307,686"
503,The Mercy 2018 Re-release,"$306,205"
504,Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,"$304,482"
505,The Bolshoi Ballet: Live From Moscow - Giselle,"$302,681"
506,Sunset Blvd. 2018 Re-release,"$299,645"
507,Okko's Inn,"$293,385"
508,More Than Funny,"$290,498"
509,Best F(r)iends: Volume 1,"$290,064"
510,The Silence of Others,"$289,455"
511,Generation Wealth,"$287,709"
512,Skate Kitchen,"$287,307"
513,But Deliver Us from Evil,"$285,169"
514,Disney's Newsies: The Broadway Musical! 2018 Re-release,"$282,429"
515,Namaste England,"$279,934"
516,Wonders of the Sea,"$279,415"
517,Science Fair,"$277,338"
518,The King,"$273,601"
519,The World Before Your Feet,"$268,644"
520,Doctor Who,"$264,629"
521,The Producers 2018 Re-release,"$263,277"
522,The Final Year,"$262,286"
523,Eating You Alive,"$260,534"
524,Across the Universe 2018 Re-release,"$258,618"
525,Big 2018 Re-release,"$258,507"
526,Helicopter Eela,"$256,952"
527,Harry Potter and the Chamber of Secrets 2018 Re-release,"$249,426"
528,Hot Summer Nights,"$246,133"
529,The Fireflies Are Gone,"$245,006"
530,Dark River,"$239,182"
531,RWBY: Argus Limited,"$238,379"
532,Alien Intrusion: Unmasking a Deception,"$237,411"
533,Diamantino,"$235,041"
534,Superman 2018 Re-release,"$233,585"
